weightclass,Weight In Kg,Average Submissions Attempted Per 15 Minutes,Average Takedowns Landed Per 15 Minutes,Date Of Birth,Draws,Height Cm,Losses,Name,Nickname,Reach In Cm,Significant Strike Defence,Significant Strikes Absorbed Per Minute,Significant Strikes Landed Per Minute,Significant Striking Accuracy,Stance,Takedown Accuracy,Takedown Defense,Wins
Welterweight (70.4–77.1 kg),70.31,2.1,0.85,2/6/1986,0,180.34,3,Andrew Holbrook,,177.8,54,3,2.2,49,Southpaw,18,10,12
Light Heavyweight (84.0–93.0 kg),83.91,2.1,0.31,2/16/1985,0,187.96,6,Logan Clark,"""The Pink Pounder""",,53,1.49,2.2,54,Orthodox,100,30,18
Light Heavyweight (84.0–93.0 kg),83.91,2.1,0,7/28/1980,0,187.96,2,Nate Loughran,,,59,4.11,1.81,40,Orthodox,0,0,11
Light Heavyweight (84.0–93.0 kg),83.91,2.1,0,7/21/1982,0,182.88,9,Tim McKenzie,"""Wrecking Machine""",187.96,44,2.96,1.37,54,Orthodox,0,28,14
Featherweight (61.3–65.8 kg),65.77,2.1,2.14,11/3/1980,0,175.26,4,Mackens Semerzier,"""Da Menace""",182.88,46,3.48,2.91,45,Orthodox,50,50,8
Welterweight (70.4–77.1 kg),70.31,2.1,1.79,12/2/1975,2,175.26,20,Dennis Hallman,"""Superman""",182.88,43,1.96,1.12,44,Orthodox,30,25,53
Middleweight (77.2–83.9 kg),77.11,2.1,0,10/12/1971,1,172.72,13,Chris Brennan,"""The Westside Strangler""",,50,0.97,0.6,40,Orthodox,0,25,21
Flyweight (≤56.7 kg),56.7,2.1,1.06,7/24/1984,0,162.56,5,Josh Sampo,"""The Gremlin""",162.56,55,2.96,1.99,36,Orthodox,33,40,11
Featherweight (61.3–65.8 kg),61.23,2.1,6.19,3/13/2000,0,172.72,1,Daermisi Zhawupasi,,172.72,34,2.75,1.24,51,Switch,75,64,7
Light Heavyweight (84.0–93.0 kg),92.99,2,0,1/3/1989,0,187.96,6,Harry Hunsucker,"""The Hurricane""",190.5,42,6.53,3.54,52,Orthodox,0,0,7
Welterweight (70.4–77.1 kg),70.31,2,1,7/29/1993,0,175.26,1,Kevin Syler,"""El Nino Bala""",180.34,48,4.03,5.6,69,Switch,40,77,10
Featherweight (61.3–65.8 kg),61.23,2,0,1/12/1978,0,180.34,1,Dave Galera,"""Scarecrow""",,33,0.53,1.67,69,Orthodox,0,14,5
Middleweight (77.2–83.9 kg),77.11,2,0,3/26/1997,0,180.34,5,Kaik Brito,,182.88,55,3.87,2.8,38,Orthodox,0,55,16
Middleweight (77.2–83.9 kg),77.11,2,0.99,6/29/1981,0,180.34,18,Chad Reiner,"""The Grinder""",,46,1.97,0.53,20,Orthodox,33,25,33
Welterweight (70.4–77.1 kg),70.31,2,3.19,9/5/1980,0,175.26,7,Jacob Volkmann,"""Christmas""",180.34,52,1.78,1.19,34,Southpaw,48,52,19
Middleweight (77.2–83.9 kg),77.11,2,2.67,8/23/1977,0,180.34,10,Brock Larson,,180.34,55,1.5,1.39,46,Southpaw,34,43,42
Welterweight (70.4–77.1 kg),70.31,2,0,1/24/1995,0,187.96,2,Christian Lohsen,,195.58,44,6.93,5.27,49,Southpaw,0,0,4
Middleweight (77.2–83.9 kg),77.11,2,1,3/27/1978,0,175.26,3,Nick Serra,,,43,1.73,0,0,Orthodox,10,0,7
Featherweight (61.3–65.8 kg),61.23,2,3.38,,0,180.34,0,Chris Holdsworth,"""Holds It Down""",,58,1.94,1.85,29,,62,100,6
Welterweight (70.4–77.1 kg),70.31,2,0,9/8/1972,0,175.26,8,John Halverson,"""The Hurricane""",,47,5.29,2.94,43,Southpaw,0,66,16
Light Heavyweight (84.0–93.0 kg),83.91,2,4,10/4/1989,0,190.5,1,Mariusz Ksiazkiewicz,,190.5,39,3.4,0.93,45,Southpaw,100,0,8
Light Heavyweight (84.0–93.0 kg),92.99,2,4.84,3/4/1996,1,187.96,4,Jimmy Crute,,187.96,44,3.04,3.68,54,Orthodox,57,60,12
Welterweight (70.4–77.1 kg),70.31,2,2.39,5/22/1984,0,177.8,16,Joe Lauzon,,180.34,54,5.39,2.84,39,Orthodox,45,54,28
Featherweight (61.3–65.8 kg),61.23,2,6,5/26/1994,0,175.26,1,Jack Cartwright,,172.72,29,3.33,0.8,38,Orthodox,66,0,10
Flyweight (≤56.7 kg),56.7,2,1.53,5/5/1993,0,170.18,3,Jafel Filho,"""Pastor""",172.72,45,2.31,2,37,Orthodox,27,55,15
Middleweight (77.2–83.9 kg),77.11,2,3,,0,175.26,2,Mark Scanlon,,,48,3.33,2.2,35,Orthodox,75,25,9
Light Heavyweight (84.0–93.0 kg),92.99,2,3.98,11/25/1991,0,187.96,4,Abdul-Kerim Edilov,,,92,0.13,10.22,61,Orthodox,100,0,17
Light Heavyweight (84.0–93.0 kg),83.91,2,1.43,6/3/1975,0,190.5,16,Jason MacDonald,"""The Athlete""",203.2,46,2.7,1.55,52,Orthodox,16,35,25
Featherweight (61.3–65.8 kg),61.23,2,0,11/23/1995,1,165.1,2,Allan Begosso,"""Mini""",167.64,34,7.73,1.8,40,Orthodox,0,25,7
Flyweight (≤56.7 kg),56.7,2,2,9/22/1997,0,167.64,5,Yuma Horiuchi,,170.18,35,5,3.73,30,Switch,16,0,9
Welterweight (70.4–77.1 kg),70.31,2,1.67,1/5/1979,2,175.26,16,John Gunderson,"""Guns""",175.26,58,1.71,1.04,27,Orthodox,33,11,35
Light Heavyweight (84.0–93.0 kg),92.99,2,0,6/2/1969,0,180.34,17,Chris Haseman,"""The Hammer""",,28,4.67,0.93,70,Orthodox,0,40,20
Middleweight (77.2–83.9 kg),77.11,2,1.86,4/17/1982,0,182.88,7,Martin Kampmann,"""The Hitman""",182.88,62,3.28,3.22,42,Orthodox,41,78,20
Heavyweight (>=93.1 kg),119.75,2,2.02,5/24/1979,0,190.5,11,Frank Mir,,200.66,38,3.84,2.18,47,Southpaw,40,54,18
Featherweight (61.3–65.8 kg),61.23,1.9,1.16,10/10/1984,0,165.1,5,Mitch Gagnon,,165.1,61,2.21,2.76,46,Southpaw,25,65,12
Light Heavyweight (84.0–93.0 kg),83.91,1.9,1.86,12/8/1973,0,187.96,8,Lucio Linhares,"""The Spartan""",,34,3.47,0.99,22,Orthodox,50,50,19
Light Heavyweight (84.0–93.0 kg),83.91,1.9,1.87,9/26/1981,0,193.04,2,Roger Gracie,,200.66,61,1.79,1.78,35,Orthodox,53,60,8
Featherweight (61.3–65.8 kg),61.23,1.9,6.63,11/14/1995,0,172.72,3,Saidyokub Kakhramonov,,175.26,58,0.88,2.05,51,Orthodox,48,83,10
Middleweight (77.2–83.9 kg),77.11,1.9,1.21,1/22/1992,0,187.96,5,Mickey Gall,,187.96,49,4.25,2.94,46,Switch,30,36,7
Featherweight (61.3–65.8 kg),61.23,1.9,0.85,3/22/1987,0,167.64,7,Joe Soto,,165.1,67,5.37,3.36,41,Orthodox,21,70,18
Middleweight (77.2–83.9 kg),77.11,1.9,0,3/21/1990,0,180.34,0,Austin Vanderford,,,45,5.19,3.9,52,Orthodox,0,100,4
Featherweight (61.3–65.8 kg),65.77,1.9,3.73,11/9/1990,0,172.72,5,Pat Sabatini,,177.8,49,1.54,2.02,59,Orthodox,42,50,18
Light Heavyweight (84.0–93.0 kg),83.91,1.9,1.55,9/20/1977,0,185.42,8,Ryan Jensen,,193.04,59,2.99,2.84,39,Orthodox,50,31,21
Middleweight (77.2–83.9 kg),77.11,1.9,1.93,9/4/1978,0,177.8,3,Roman Mitichyan,"""The Emperor""",,43,2.7,0.26,16,Orthodox,100,25,8
Middleweight (77.2–83.9 kg),82.1,1.9,1.82,1/12/1976,8,175.26,42,Ikuhisa Minowa,,,49,1.66,0.88,40,Orthodox,41,5,60
Featherweight (61.3–65.8 kg),65.77,1.9,1.45,2/28/1990,0,177.8,9,Jordan Griffin,"""NativePsycho""",185.42,50,3.02,2.52,46,Southpaw,35,42,18
Flyweight (≤56.7 kg),56.7,1.9,3.2,8/19/1987,0,167.64,5,Jon Delos Reyes,"""The Heat""",170.18,51,4.14,2.99,38,Orthodox,83,55,8
Welterweight (70.4–77.1 kg),70.31,1.9,1.4,6/6/1982,0,177.8,4,Vagner Rocha,"""Ceara""",185.42,48,4.5,2.64,42,Orthodox,33,50,14
Light Heavyweight (84.0–93.0 kg),83.91,1.9,2.12,2/27/1993,0,190.5,4,Kyle Daukaus,,193.04,42,2.94,3.22,52,Southpaw,25,82,11
Featherweight (61.3–65.8 kg),61.23,1.9,2.86,9/12/1984,1,167.64,11,Rani Yahya,,170.18,50,1.77,1.59,37,Orthodox,32,24,28
Welterweight (70.4–77.1 kg),70.31,1.9,2.46,7/14/1979,0,177.8,7,Shane Roller,,182.88,60,2.65,2.04,34,Orthodox,33,42,11
Heavyweight (>=93.1 kg),108.86,1.9,1.82,6/20/1977,1,187.96,17,Aleksei Oleinik,"""The Boa Constrictor""",203.2,44,3.8,3.29,48,Orthodox,46,37,60
Featherweight (61.3–65.8 kg),65.77,1.9,3.76,9/30/1994,1,165.1,3,Keisuke Sasu,"""“Sasuke”""",175.26,48,2.42,2.76,49,Switch,40,61,11
Featherweight (61.3–65.8 kg),65.77,1.9,0.97,9/16/1990,0,167.64,5,Don Shainis,"""Shameless""",170.18,31,5.87,3.42,50,Orthodox,25,20,12
Featherweight (61.3–65.8 kg),61.23,1.9,2.54,8/13/1993,0,170.18,2,Dan Argueta,"""The Determined""",172.72,52,1.9,2.35,47,Southpaw,50,60,9
Featherweight (61.3–65.8 kg),61.23,1.8,3.57,10/8/2004,0,175.26,1,Raul Rosas Jr.,"""El Nino Problema""",170.18,46,1.52,1.28,44,Switch,33,0,8
Middleweight (77.2–83.9 kg),77.11,1.8,0.44,8/23/1992,0,187.96,3,Miguel Baeza,"""Caramel Thunder""",187.96,53,5.1,4.88,49,Orthodox,28,100,10
Welterweight (70.4–77.1 kg),70.31,1.8,0,8/10/1985,0,177.8,5,Joe Proctor,,182.88,59,3.93,3.39,36,Orthodox,0,70,11
Featherweight (61.3–65.8 kg),61.23,1.8,1.69,7/16/1991,0,175.26,9,Louis Smolka,"""Da Last Samurai""",172.72,53,4.11,4.67,47,Orthodox,35,32,17
Heavyweight (>=93.1 kg),109.32,1.8,2.66,6/18/1974,0,177.8,8,Assuerio Silva,,,54,4.2,1.42,46,Orthodox,34,25,16
Featherweight (61.3–65.8 kg),61.23,1.8,2.4,2/16/1993,0,175.26,4,Johnny Munoz,"""Kid Kvenbo""",180.34,55,2.66,2.44,36,Orthodox,25,45,12
Light Heavyweight (84.0–93.0 kg),83.91,1.8,6.51,2/9/1982,0,185.42,5,Jake Rosholt,,,49,2.33,2.68,53,Orthodox,68,0,12
Light Heavyweight (84.0–93.0 kg),83.91,1.8,1.81,9/20/1977,2,190.5,8,Eric Schafer,"""Red""",193.04,56,3.38,1.89,34,Orthodox,36,50,14
Light Heavyweight (84.0–93.0 kg),83.91,1.8,1.67,6/30/1981,0,185.42,8,Dan Miller,,187.96,49,3.06,2.03,36,Orthodox,54,47,14
Welterweight (70.4–77.1 kg),70.31,1.8,1.56,8/30/1983,0,172.72,17,Jim Miller,"""A-10""",180.34,58,3.08,2.86,41,Southpaw,43,48,36
Flyweight (≤56.7 kg),56.7,1.8,2.72,3/13/1996,0,162.56,2,Jesus Aguilar,,157.48,63,1.03,1.69,49,Orthodox,37,0,9
Middleweight (77.2–83.9 kg),77.11,1.8,1.84,5/24/1980,0,187.96,5,Alex Serdyukov,"""The Russian Crusher""",187.96,46,3.1,4.94,48,Orthodox,55,67,8
Middleweight (77.2–83.9 kg),77.11,1.8,3.67,4/3/1984,0,175.26,10,Brian Foster,,180.34,65,1.63,3.3,39,Orthodox,60,37,27
Light Heavyweight (84.0–93.0 kg),83.91,1.8,0.9,9/12/1977,1,190.5,2,Lee Murray,,,32,3.28,0.36,15,Orthodox,100,42,8
Light Heavyweight (84.0–93.0 kg),83.91,1.8,2.97,9/17/1996,0,187.96,2,Joe Pyfer,"""Bodybagz""",190.5,55,2.34,3.64,45,Orthodox,83,50,12
Featherweight (61.3–65.8 kg),65.77,1.8,0.6,4/26/1984,0,185.42,11,Cole Miller,"""Magrinho""",185.42,59,3.88,3,33,Orthodox,36,38,21
Featherweight (61.3–65.8 kg),65.77,1.7,1.71,8/6/1985,0,170.18,15,Daniel Pineda,"""The Pit""",175.26,46,3.18,3.09,49,Orthodox,25,48,28
Light Heavyweight (84.0–93.0 kg),83.91,1.7,0.49,11/12/1982,0,198.12,17,Kendall Grove,"""Da Spyder""",200.66,54,2.4,2.31,41,Orthodox,45,56,23
Light Heavyweight (84.0–93.0 kg),83.91,1.7,1.71,5/8/1983,0,185.42,5,Danillo Villefort,"""Indio""",,68,2.4,2.86,37,Orthodox,66,33,15
Light Heavyweight (84.0–93.0 kg),83.91,1.7,1.93,7/3/1985,0,182.88,5,Karlos Vemola,,190.5,37,2.13,1.67,44,Orthodox,25,31,17
Heavyweight (>=93.1 kg),116.12,1.7,3.46,4/11/1993,0,195.58,3,Tom Aspinall,,198.12,66,2.77,7.72,66,Orthodox,100,100,14
Light Heavyweight (84.0–93.0 kg),83.91,1.7,1.09,3/1/1995,0,190.5,4,Nassourdine Imavov,,190.5,58,3.76,4.55,53,Orthodox,31,72,12
Light Heavyweight (84.0–93.0 kg),83.91,1.7,1.72,7/15/1988,0,187.96,2,Roman Dolidze,,193.04,55,3.01,3.02,44,Orthodox,50,33,12
Light Heavyweight (84.0–93.0 kg),83.91,1.7,1.36,12/28/1995,0,187.96,5,Brendan Allen,"""All In""",190.5,46,3.6,3.87,54,Orthodox,47,58,23
Middleweight (77.2–83.9 kg),77.11,1.7,0.84,5/20/1973,2,180.34,23,Steve Berger,"""Red Nose""",,36,3.26,1,27,Orthodox,40,16,21
Middleweight (77.2–83.9 kg),77.11,1.7,0.97,8/1/1990,0,182.88,7,David Zawada,"""Sagat""",190.5,55,4.54,3.84,41,Orthodox,33,57,17
Flyweight (≤56.7 kg),56.7,1.7,1.11,5/3/1991,0,167.64,2,Erisson Ferreira,,177.8,56,2.75,1.75,32,Orthodox,100,66,12
Heavyweight (>=93.1 kg),120.2,1.7,0.56,2/18/1988,0,210.82,13,Stefan Struve,"""Skyscraper""",213.36,46,4.04,3.12,47,Orthodox,46,55,33
Featherweight (61.3–65.8 kg),61.23,1.7,0,,0,175.26,10,Donny Walker,"""Eagle Eye""",,46,3.85,1.81,37,,0,57,15
Featherweight (61.3–65.8 kg),65.77,1.7,1.31,7/14/1992,0,177.8,5,Jason Knight,"""The Kid""",180.34,51,3.02,2.95,33,Orthodox,31,47,20
Featherweight (61.3–65.8 kg),61.23,1.7,1.67,4/5/1989,0,180.34,2,Cole Smith,"""The Cole Train""",170.18,49,1.96,1.78,35,Orthodox,33,45,7
Light Heavyweight (84.0–93.0 kg),92.99,1.7,4.15,2/27/1987,0,190.5,9,Misha Cirkunov,,195.58,57,3.06,3.86,51,Orthodox,39,76,15
Light Heavyweight (84.0–93.0 kg),83.91,1.7,1.26,7/14/1969,1,182.88,17,Kazushi Sakuraba,,,51,2.03,1.26,41,Southpaw,31,48,26
Featherweight (61.3–65.8 kg),65.77,1.7,0,,1,175.26,21,Dustin Neace,"""The Beast""",,56,2.66,2.08,32,,0,0,25
Middleweight (77.2–83.9 kg),77.11,1.7,2.32,6/14/1980,0,180.34,2,Claude Patrick,"""The Prince""",190.5,69,0.89,1.8,55,Orthodox,53,84,14
Middleweight (77.2–83.9 kg),77.11,1.7,1.12,3/14/1984,1,185.42,6,Simeon Thoresen,"""The Grin""",200.66,64,3.85,3.85,43,Orthodox,40,50,17
Light Heavyweight (84.0–93.0 kg),92.99,1.7,1.67,2/20/1981,0,190.5,5,Cody Donovan,"""Donnybrook""",187.96,45,5.44,5.61,59,Orthodox,28,0,8
Welterweight (70.4–77.1 kg),70.31,1.7,0.43,6/25/1981,1,180.34,18,Carlo Prater,"""Neo""",182.88,35,4.07,2.03,47,Switch,9,57,31
Featherweight (61.3–65.8 kg),65.77,1.6,2.44,8/8/1988,1,180.34,6,Damon Jackson,"""The Leech""",180.34,50,3.46,3.02,40,Switch,34,40,22
Middleweight (77.2–83.9 kg),77.11,1.6,2.37,3/26/1990,0,182.88,4,Bobby Nash,"""Nashty""",187.96,51,3.95,3.42,37,Orthodox,33,100,8
Featherweight (61.3–65.8 kg),61.23,1.6,2.51,12/18/1983,0,175.26,5,Roland Delorme,,180.34,40,4.32,2.28,44,Orthodox,34,42,9
Middleweight (77.2–83.9 kg),77.11,1.6,11.41,2/10/1998,1,177.8,1,Myktybek Orolbai,,187.96,48,1.52,0.87,40,Orthodox,70,0,12
Flyweight (≤56.7 kg),56.7,1.6,4.07,12/10/1988,0,167.64,6,Daniel Barez,,167.64,55,5.32,3.8,53,Orthodox,31,91,16
Welterweight (70.4–77.1 kg),70.31,1.6,2.32,7/9/1977,0,177.8,7,George Sotiropoulos,,180.34,67,2.52,2.61,27,Orthodox,31,53,14
Featherweight (61.3–65.8 kg),61.23,1.6,1.65,12/18/1987,1,165.1,3,Deiveson Figueiredo,"""Deus da Guerra""",172.72,51,3.46,3.08,55,Orthodox,44,58,22
Middleweight (77.2–83.9 kg),77.11,1.6,1.31,6/7/1977,0,185.42,10,Chris Wilson,"""The Professor""",190.5,55,1.36,2.32,50,Orthodox,50,60,18
Middleweight (77.2–83.9 kg),77.11,1.6,3.28,,0,175.26,11,Jess Liaudin,"""The Joker""",182.88,41,2.76,2.46,51,Orthodox,53,30,20
Heavyweight (>=93.1 kg),105.23,1.6,0.53,4/24/1978,0,193.04,3,Marcio Cruz,"""Pe De Pano""",,68,1.51,2.92,46,Orthodox,7,37,8
Light Heavyweight (84.0–93.0 kg),83.91,1.6,1.76,11/27/1987,1,190.5,7,Paul Craig,"""BearJew""",193.04,45,2.86,2.42,46,Orthodox,22,37,17
Flyweight (≤56.7 kg),56.7,1.6,0.78,8/30/1979,0,162.56,13,Neil Seery,"""2Tap""",162.56,58,3.79,3.56,41,Orthodox,27,53,16
Welterweight (70.4–77.1 kg),70.31,1.6,1.31,11/29/1984,0,175.26,7,Shane Nelson,"""Sugar""",177.8,61,2.84,1.38,31,Southpaw,18,54,16
Featherweight (61.3–65.8 kg),65.77,1.6,0.47,2/15/1987,0,180.34,16,Steven Siler,"""Super""",177.8,54,2.96,3.21,41,Orthodox,21,55,29
Featherweight (61.3–65.8 kg),65.77,1.6,3.51,10/4/1994,0,177.8,2,Bryce Mitchell,"""Thug Nasty""",177.8,58,1.64,2.34,58,Southpaw,41,33,16
Featherweight (61.3–65.8 kg),61.23,1.6,0,5/7/1990,0,172.72,1,Marcus McGhee,"""The Manica""",175.26,77,1.81,3.42,48,Orthodox,0,100,8
Featherweight (61.3–65.8 kg),65.77,1.6,2.3,1/1/1976,2,170.18,9,Eiji Mitsuoka,,,45,2.26,1.49,49,Southpaw,36,20,18
Welterweight (70.4–77.1 kg),70.31,1.6,2.49,1/26/1982,0,172.72,8,Rafaello Oliveira,"""Tractor""",180.34,59,3.38,2.19,33,Orthodox,36,11,17
Light Heavyweight (84.0–93.0 kg),83.91,1.6,1.05,12/14/1987,0,185.42,3,Caio Magalhaes,"""Hellboy""",185.42,56,2.78,2.27,40,Orthodox,15,58,10
Welterweight (70.4–77.1 kg),70.31,1.6,0,11/8/1976,0,177.8,7,Justin James,"""The Pretty Boy""",,50,2.68,1.34,36,Orthodox,0,50,13
Featherweight (61.3–65.8 kg),61.23,1.6,2.2,10/1/1979,0,172.72,3,Jerrod Sanders,"""J-Reazie""",182.88,46,1.14,0.88,64,Orthodox,33,50,16
Featherweight (61.3–65.8 kg),61.23,1.6,1.21,4/21/1991,0,162.56,5,Saimon Oliveira,,182.88,48,3.91,2.82,41,Orthodox,25,35,18
Welterweight (70.4–77.1 kg),70.31,1.5,2.34,12/23/1978,1,177.8,9,Fabricio Camoes,"""Morango""",180.34,61,1.85,1.29,33,Orthodox,32,20,14
Middleweight (77.2–83.9 kg),77.11,1.5,1.49,10/23/1994,0,185.42,0,Shavkat Rakhmonov,"""Nomad""",195.58,53,2.61,4.45,59,Orthodox,33,100,17
Featherweight (61.3–65.8 kg),61.23,1.5,2.5,,0,165.1,3,Dileno Lopes,,,53,3.33,2.37,36,,31,100,19
Middleweight (77.2–83.9 kg),77.11,1.5,1.8,9/18/1975,1,182.88,14,Mike Pyle,"""Quicksand""",187.96,60,2.84,2.74,45,Orthodox,35,70,27
Welterweight (70.4–77.1 kg),70.31,1.5,3.64,5/31/1981,0,180.34,5,Matt Veach,,,44,4.91,1.12,28,Orthodox,38,100,17
Light Heavyweight (84.0–93.0 kg),92.99,1.5,1.29,8/24/1991,0,195.58,9,Ryan Spann,"""Superman""",200.66,45,3.91,3.42,40,Orthodox,35,47,21
Light Heavyweight (84.0–93.0 kg),83.91,1.5,2.01,12/18/1987,0,185.42,17,Gerald Meerschaert,"""GM3""",195.58,53,3.5,3.3,44,Southpaw,37,34,35
Welterweight (70.4–77.1 kg),70.31,1.5,3,9/27/1994,0,185.42,1,Max Rohskopf,"""Rated R""",180.34,42,5.8,1.7,31,Orthodox,33,0,5
Welterweight (70.4–77.1 kg),70.31,1.5,2.65,8/27/1993,0,175.26,4,Joe Solecki,,177.8,52,1.53,2.21,56,Orthodox,50,50,13
Featherweight (61.3–65.8 kg),65.77,1.5,2.56,7/16/1977,0,170.18,5,Javier Vazquez,"""Showtime""",175.26,72,1.99,2.43,36,Southpaw,52,57,16
Middleweight (77.2–83.9 kg),77.11,1.5,0.75,,0,177.8,4,Chris Indich,"""The Savage""",,43,4.32,1.31,30,,50,50,6
Featherweight (61.3–65.8 kg),65.77,1.5,3.13,6/17/1986,0,167.64,3,Gavin Tucker,"""Guv'nor""",167.64,57,4.18,4.29,44,Southpaw,44,53,13
Middleweight (77.2–83.9 kg),77.11,1.5,2.53,11/7/1991,1,185.42,1,Mike Malott,"""Proper""",185.42,56,3.07,4.21,42,Orthodox,55,0,10
Light Heavyweight (84.0–93.0 kg),83.91,1.5,0.61,1/24/1990,1,182.88,3,Oskar Piechota,"""Imadlo""",193.04,51,3.93,3.3,52,Southpaw,40,38,11
Middleweight (77.2–83.9 kg),77.11,1.5,0.62,8/1/1975,1,182.88,12,Jason Von Flue,"""Live Wire""",,52,3.23,1.89,36,Orthodox,16,58,14
Middleweight (77.2–83.9 kg),77.11,1.5,2.25,7/26/1974,0,182.88,4,Tony DeSouza,,177.8,41,1.57,1.12,52,Southpaw,42,40,11
Featherweight (61.3–65.8 kg),65.77,1.5,2.19,1/21/1997,0,170.18,0,Ilia Topuria,"""El  Matador""",175.26,67,3.05,4.44,46,Orthodox,56,92,14
Light Heavyweight (84.0–93.0 kg),83.91,1.5,2.5,10/11/1983,0,177.8,7,Charles Byrd,"""Kid Dynamite""",185.42,55,2.63,3.43,55,Orthodox,50,40,10
Welterweight (70.4–77.1 kg),70.31,1.5,2.31,5/22/1987,0,185.42,3,Teemu Packalen,"""Pacu""",190.5,47,3.91,2.57,54,Orthodox,25,100,8
Welterweight (70.4–77.1 kg),70.31,1.5,0.29,11/14/1990,0,172.72,12,Rafael Alves,"""The Turn""",172.72,58,3.3,1.85,48,Orthodox,25,44,20
Featherweight (61.3–65.8 kg),65.77,1.5,3.83,11/8/1984,1,170.18,7,Thiago Tavares,,177.8,62,2.31,2,40,Orthodox,42,62,21
Light Heavyweight (84.0–93.0 kg),83.91,1.5,2.97,2/17/1990,0,185.42,6,Andre Muniz,"""Sergipano""",198.12,53,2.03,2.17,50,Southpaw,40,35,23
Welterweight (70.4–77.1 kg),70.31,1.5,2.13,9/19/1983,0,177.8,10,Matt Wiman,,172.72,51,3.57,3.17,50,Orthodox,37,56,16
Light Heavyweight (84.0–93.0 kg),83.91,1.5,3,,0,180.34,3,Patrick Walsh,,,64,2.83,2.03,19,,54,100,10
Featherweight (61.3–65.8 kg),65.77,1.5,1.19,12/19/1975,1,167.64,14,Michihiro Omigawa,"""Micci""",172.72,64,3.06,2.01,39,Orthodox,36,49,17
Welterweight (70.4–77.1 kg),70.31,1.5,1.34,9/12/1984,0,175.26,5,Paul Kelly,"""Tellys""",177.8,59,2.61,3.22,37,Orthodox,60,30,14
Welterweight (70.4–77.1 kg),70.31,1.5,3.68,2/20/1994,1,177.8,2,Grant Dawson,"""KGD""",182.88,45,2.27,2.97,51,Switch,36,40,20
Light Heavyweight (84.0–93.0 kg),92.99,1.4,5.08,2/9/1987,0,180.34,8,Gadzhimurad Antigulov,,177.8,40,4.21,2.08,55,Orthodox,36,0,20
Featherweight (61.3–65.8 kg),61.23,1.4,1.01,4/5/1992,0,172.72,3,Said Nurmagomedov,,177.8,57,2.13,3.55,47,Orthodox,16,66,18
Featherweight (61.3–65.8 kg),61.23,1.4,1.39,6/22/1980,0,170.18,3,Brian Bowles,,177.8,64,2.98,2.36,26,Orthodox,70,54,10
Welterweight (70.4–77.1 kg),70.31,1.4,2.47,4/19/1972,2,170.18,7,Dokonjonosuke Mishima,,,52,1.22,1.06,41,Southpaw,40,25,21
Middleweight (77.2–83.9 kg),77.11,1.4,0.89,4/27/1980,0,182.88,6,Luke Cummo,"""The Silent Assassin""",187.96,59,1.5,1.74,43,Orthodox,55,42,6
Welterweight (70.4–77.1 kg),70.31,1.4,0.43,1/11/1986,0,185.42,5,Terry Etim,,185.42,67,2.53,2.16,35,Orthodox,30,39,16
Featherweight (61.3–65.8 kg),65.77,1.4,2.74,6/1/1990,0,177.8,5,Bobby Moffett,"""The Wolfman""",185.42,61,3.15,3.41,39,Orthodox,66,66,13
Heavyweight (>=93.1 kg),113.4,1.4,1.26,11/10/1977,0,190.5,8,Josh Barnett,"""The Warmaster""",198.12,57,2.11,3.2,50,Orthodox,55,55,35
Welterweight (70.4–77.1 kg),70.31,1.4,4.09,8/14/1987,0,182.88,4,Colton Smith,,180.34,51,2.3,1.64,41,Orthodox,36,25,7
Featherweight (61.3–65.8 kg),61.23,1.4,0,1/21/1987,0,175.26,3,Tony Kelley,"""Primetime""",177.8,45,4.85,5.55,47,Switch,0,52,8
Flyweight (≤56.7 kg),56.7,1.4,0.72,11/3/1987,0,167.64,5,Darrell Montague,"""Mongoose""",170.18,52,5.38,1.92,25,Southpaw,25,33,13
Light Heavyweight (84.0–93.0 kg),83.91,1.4,3.7,9/25/1989,0,182.88,2,Rodolfo Vieira,,185.42,48,4.84,3.36,54,Orthodox,26,100,9
Middleweight (77.2–83.9 kg),77.11,1.4,0,7/12/1981,0,177.8,4,Carlos Eduardo Rocha,"""Ta Danado""",185.42,55,1.85,1.24,34,Orthodox,0,52,9
Light Heavyweight (84.0–93.0 kg),92.99,1.4,2.46,5/15/1983,0,182.88,6,Tom Lawlor,"""Filthy""",187.96,60,2.41,2.5,42,Southpaw,32,57,10
Featherweight (61.3–65.8 kg),61.23,1.4,1.09,1/15/1991,0,175.26,4,Michael McDonald,"""Mayday""",177.8,57,2.76,2.69,42,Orthodox,66,52,17
Featherweight (61.3–65.8 kg),61.23,1.4,0,7/16/1984,0,180.34,10,Walel Watson,"""The Gazelle""",190.5,43,3.79,2.1,29,Orthodox,0,61,14
Light Heavyweight (84.0–93.0 kg),83.91,1.4,2.74,11/1/1982,0,187.96,9,Mike Massenzio,"""The Master of Disaster""",185.42,54,3.59,2.08,45,Southpaw,24,50,13
Middleweight (77.2–83.9 kg),77.11,1.4,3.05,6/2/1978,0,180.34,11,Roan Carneiro,"""Jucao""",193.04,62,1.82,1.46,46,Orthodox,42,83,21
Flyweight (≤56.7 kg),56.7,1.4,3.49,7/19/1986,0,157.48,4,Hector Sandoval,"""Kid Alex""",162.56,65,2.33,3.31,52,Orthodox,25,71,14
